key,Group,Group_id,Team_id,Team_flag,GP,W,D,L,GF,GA,GD,PTS
Brazil,GROUP A,255933,43924,http://img.fifa.com/images/flags/4/bra.png,3,2,1,0,7,2,5,7
Mexico,GROUP A,255933,43911,http://img.fifa.com/images/flags/4/mex.png,3,2,1,0,4,1,3,7
Cameroon,GROUP A,255933,43849,http://img.fifa.com/images/flags/4/cmr.png,3,0,0,3,1,9,-8,0
Croatia,GROUP A,255933,43938,http://img.fifa.com/images/flags/4/cro.png,3,1,0,2,6,6,0,3
Netherlands,GROUP B,255935,43960,http://img.fifa.com/images/flags/4/ned.png,3,3,0,0,10,3,7,9
Chile,GROUP B,255935,43925,http://img.fifa.com/images/flags/4/chi.png,3,2,0,1,5,3,2,6
Australia,GROUP B,255935,43976,http://img.fifa.com/images/flags/4/aus.png,3,0,0,3,3,9,-6,0
Spain,GROUP B,255935,43969,http://img.fifa.com/images/flags/4/esp.png,3,1,0,2,4,7,-3,3
Colombia,GROUP C,255937,43926,http://img.fifa.com/images/flags/4/col.png,3,3,0,0,9,2,7,9
Ivory Coast,GROUP C,255937,43854,http://img.fifa.com/images/flags/4/civ.png,3,1,0,2,4,5,-1,3
Japan,GROUP C,255937,43819,http://img.fifa.com/images/flags/4/jpn.png,3,0,1,2,2,6,-4,1
Greece,GROUP C,255937,43949,http://img.fifa.com/images/flags/4/gre.png,3,1,1,1,2,4,-2,4
Costa Rica,GROUP D,255939,43901,http://img.fifa.com/images/flags/4/crc.png,3,2,1,0,4,1,3,7
Italy,GROUP D,255939,43954,http://img.fifa.com/images/flags/4/ita.png,3,1,0,2,2,3,-1,3
England,GROUP D,255939,43942,http://img.fifa.com/images/flags/4/eng.png,3,0,1,2,2,4,-2,1
Uruguay,GROUP D,255939,43930,http://img.fifa.com/images/flags/4/uru.png,3,2,0,1,4,4,0,6
France,GROUP E,255941,43946,http://img.fifa.com/images/flags/4/fra.png,3,2,1,0,8,2,6,7
Switzerland,GROUP E,255941,43971,http://img.fifa.com/images/flags/4/sui.png,3,2,0,1,7,6,1,6
Ecuador,GROUP E,255941,43927,http://img.fifa.com/images/flags/4/ecu.png,3,1,1,1,3,3,0,4
Honduras,GROUP E,255941,43909,http://img.fifa.com/images/flags/4/hon.png,3,0,0,3,1,8,-7,0
Argentina,GROUP F,255943,43922,http://img.fifa.com/images/flags/4/arg.png,3,3,0,0,6,3,3,9
Iran,GROUP F,255943,43817,http://img.fifa.com/images/flags/4/irn.png,3,0,1,2,1,4,-3,1
Nigeria,GROUP F,255943,43876,http://img.fifa.com/images/flags/4/nga.png,3,1,1,1,3,3,0,4
Bosnia and Herzegovina,GROUP F,255943,44037,http://img.fifa.com/images/flags/4/bih.png,3,1,0,2,4,4,0,3
Germany,GROUP G,255945,43948,http://img.fifa.com/images/flags/4/ger.png,3,2,1,0,7,2,5,7
Portugal,GROUP G,255945,43963,http://img.fifa.com/images/flags/4/por.png,3,1,1,1,4,7,-3,4
Ghana,GROUP G,255945,43860,http://img.fifa.com/images/flags/4/gha.png,3,0,1,2,4,6,-2,1
USA,GROUP G,255945,43921,http://img.fifa.com/images/flags/4/usa.png,3,1,1,1,4,4,0,4
Belgium,GROUP H,255947,43935,http://img.fifa.com/images/flags/4/bel.png,3,3,0,0,4,1,3,9
Algeria,GROUP H,255947,43843,http://img.fifa.com/images/flags/4/alg.png,3,1,1,1,6,5,1,4
Russia,GROUP H,255947,43965,http://img.fifa.com/images/flags/4/rus.png,3,0,2,1,2,3,-1,2
Korea Republic,GROUP H,255947,43822,http://img.fifa.com/images/flags/4/kor.png,3,0,1,2,3,6,-3,1
