name,mapper
Tiruchendur,&#2980;&#3007;&#2992;&#3009;&#2970;&#3021;&#2970;&#3014;&#2984;&#3021;&#2980;&#3009;&#2992;&#3021
Srivaikuntam,&#3000;&#3021;&#2992;&#3008;&#2997;&#3016;&#2965;&#3009;&#2985;&#3021;&#2975;&#2990;&#3021	
Ottapidaram,&#2963;&#2975;&#3021;&#2975;&#2986;&#3007;&#2975;&#3006;&#2992;&#2990;&#3021
Kovilpatti,&#2965;&#3019;&#2997;&#3007;&#2994;&#3021;&#2986;&#2975;&#3021;&#2975;&#3007
Sankarankovil,&#2970;&#2974;&#3021;&#2965;&#2992;&#2985;&#3021;&#2965;&#3019;&#2991;&#3007;&#2994;&#3021
Vasudevanallur,&#2997;&#3006;&#2970;&#3009;&#2980;&#3015;&#2997;&#2984;&#2994;&#3021;&#2994;&#3009;&#2992;&#3021
Kadayanallur,&#2965;&#2975;&#3016;&#2991;&#2984;&#2994;&#3021;&#2994;&#3009;&#2992;&#3021	
Tenkasi,&#2980;&#3014;&#2985;&#3021;&#2965;&#3006;&#2970;&#3007	
Alangulam,&#2950;&#2994;&#2974;&#3021;&#2965;&#3009;&#2995;&#2990;&#3021	
Tirunelveli,&#2980;&#3007;&#2992;&#3009;&#2984;&#3014;&#2994;&#3021;&#2997;&#3015;&#2994;&#3007	
Thoothukkudi,&#2980;&#3010;&#2980;&#3021;&#2980;&#3009;&#2965;&#3021;&#2965;&#3009;&#2975;&#3007
Vilathikulam,&#2997;&#3007;&#2995;&#3006;&#2980;&#3021;&#2980;&#3007;&#2965;&#3009;&#2995;&#2990;&#3021
Srivilliputhur,&#3000;&#3021;&#2992;&#3008;&#2997;&#3007;&#2994;&#3021;&#2994;&#3007;&#2986;&#3021;&#2986;&#3009;&#2980;&#3009;&#2992;&#3021;
Sattur,&#2970;&#3006;&#2980;&#3021;&#2980;&#3009;&#2992;&#3021;
Sivakasi,&#2970;&#3007;&#2997;&#2965;&#3006;&#2970;&#3007;
Virudhunagar,&#2997;&#3007;&#2992;&#3009;&#2980;&#3009;&#2984;&#2965;&#2992;&#3021;
Aruppukkottai,&#2950;&#2992;&#3009;&#2986;&#3021;&#2986;&#3009;&#2965;&#3021;&#2965;&#3019;&#2975;&#3021;&#2975;&#3016;
Tiruchuli,&#2980;&#3007;&#2992;&#3009;&#2970;&#3021;&#2970;&#3009;&#2994;&#3007;
Paramakudi,&#2986;&#2992;&#2990;&#2965;&#3021;&#2965;&#3009;&#2975;&#3007;
Tiruvadanai,&#2980;&#3007;&#2992;&#3009;&#2997;&#3006;&#2975;&#3006;&#2985;&#3016;
Ramanathapuram,&#2992;&#3006;&#2990;&#2984;&#3006;&#2980;&#2986;&#3009;&#2992;&#2990;&#3021;
Mudhukulathur,&#2990;&#3009;&#2980;&#3009;&#2965;&#2995;&#2980;&#3021;&#2980;&#3009;&#2992;&#3021;
